Group,Role,Curation Tool,Contact for Annotation Review,Contact name & Contact GitHub ID,Expertise/Domains of interest
,< ! > = No automatic replacement of obsolete terms,,,,
AgBase,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,
Alzheimers_University_of_Toronto,Curation,P2GO,@RLovering, Ruth Lovering @RLovering, 
ARUK-UCL,Curation,P2GO,@RLovering,Ruth Lovering @RLovering,
ASAP,Curation (inactive),P2GO,,,
AspGD,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,Aspergillus Genome Database
BHF-UCL,Curation,P2GO,@RLovering, Ruth Lovering @RLovering, 
Buffalo University,Ontology development,,,Alex Diehl @addiehl,immunology
CACAO,,,,,
° CACAO,,< ! > In-house < ! >,@dsiegele,Debbie Siegle @dsiegele,
° CACAO,,< ! > In-house< ! >,,Jolene Ramsey @jrr-cpt,
CAFA,,P2GO,@Antonialock,,Training sets for CAFA competition
CGD,,< ! > In-house< ! >,@jlewsmith,Jodi Lew-Smith @jlewsmith,chromatin/gene silencing/cellular aging
CHEMBL,,,@Zdrazil,Barbara Zdrazil @Zdrazil,ChEMBL subset
CollectTF,Curation (inactive),< ! > In-house< ! >,@ivanerill,Ivan Erill @ivanerill,General email:collectf@umbc.edu
Complex Portal,,< ! > In-house< ! >,@sandraorchard,Sandra Orchard @sandraorchard,
Cornell University,,,,Gaurav Moghe @moghelab, Plant biology
DFLAT,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,
DIBU - DiBest-Unical,Curation,< ! > In-house< ! >,@simonapanni,Simona Panni @simonapanni,
dictyBase,,,,,
° dictyBase,Curation,P2GO |  Noctua,@pfey03, Petra Fey @pfey03,
° dictyBase,Curation,P2GO | Noctua,,Robert Dodson @rjdodson,
DisProt,,,,,
° DisProt,Curation,< ! > In-house< ! >,@federicaquaglia, Federica Quaglia @federicaquaglia,biocuration | stucture | functions 
° DisProt,Curation,< ! > In-house< ! >,@victorianugnes, Victoria Nugnes @victorianugnes,biocuration | stucture | intrinsically disordered regions (IDRs) 
EAWAG-BBD (ETH Zurich),,,,,
° EAWAG-BBD (ETH Zurich),Ontology development,,,Emanuel Schmid @emanuel-schmid,biodegradation | databases | webservices
° EAWAG-BBD (ETH Zurich),Ontology development,,,Kathrin Fenner Kathrin.Fenner - at - eawag.ch,biodegradation | PI | enviPath.org
ECO - Evidence and Conclusion Ontology,,,,,
° ECO,ECO ontology development,,Michelle Giglio @mgiglio99,
° ECO,ECO ontology development,,,Suvvi Nadendla @nsuvarnaiari,
° ECO,ECO ontology development,,,James Munro @jbmunro,
° ECO,ECO ontology development,,,Becky Tauber @rctauber,
EcoCyc,,,,,
° EcoCyc,Curation,< ! > In-house < ! >,@amandamackie,Amanda Mackie @amandamackie,
° EcoCyc,Curation,< ! > In-house < ! >,,Lisa Moore @lmoore207,
° EcoCyc,Technical,,,Markus Krummenacker,EcoCyc pipeline
EcoliWiki,Curation,< ! > In-house < ! >,@dsiegele,Debbie Siegele @dsiegele,
Ensembl,Curation,,,,
Eurofung,Curation,P2GO,,,
FlyBase,,,,,
° FlyBase,Curation,P2GO | Noctua,@hattrill,Helen Attrill @hattrill,
° FlyBase,Curation,P2GO | Noctua,@gantonazzo,Giulia Antonazzo @gantonazzo,
° FlyBase,Curation & Ontology development,P2GO | Noctua,,Steven Marygold @sjm41,
° FlyBase,Curation,P2GO | Noctua,,Rossana Zaru @rozaru,
GDB,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,
GeneDB (EuPathDB),,,,
° GeneDB,Curation,< ! > In-house < ! >,@uliboehme, Ulrike Boehme @uliboehme,Plasmodium curator | TriTryp
° GeneDB,Curation,< ! > In-house < ! >,,F.Silva-Franco F.Silva-Franco at liverpool.ac.uk,TBRU curator
GO_Central,,,,,
° GO_Central,GO PI,,,Chris Mungall @cmungall,GO PI | All things technical and ontology-related
° GO_Central,GO PI,PAINT | Noctua,,Paul Thomas @thomaspd,Ontology | Phylogenetics | PAINT|Panther
° GO_Central,Curation,PAINT | P2GO | Noctua,@pgaudet,Pascale Gaudet @pgaudet,ontology development | PAINT | transcription | multiorganism processes | cellular biology| pipeline QC
° GO_Central,Curation,PAINT,,Huaiyu Mi @huaiyumi,
° GO_Central,GOC Technical,,Dustin Ebert @dustine32,PAINT pipeline|GO pipeline
° GO_Central,GOC Technical,,,Anushya Muruganujan @mugitty,PAINT software developer
° GO_Central,GOC Technical,,,Tremayne @tmushayahama,Noctua UI
° GO_Central,GOC Technical,,,Seth Carbon @kltm,Noctua | Data pipeline  |AmiGO|  GO Website
° GO_Central,GOC Technical,,,Patrick Kalita @@pkalita-lbl,
° GO_Central,GOC Technical,,Sierra Moxon @sierra-moxon,Pipeline and data
° GO_Central,GOC Technical,,,Mark A. Miller @turbomam,microbial proteomics | 16S metagenomics | biomedical semantics
GOC,Curation,,@pgaudet,,Automatic inferences
GOC-OWL,,@pgaudet,,Automatic inferences
GR,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,Gramene Database - contact Pankaj Jaiswal @jaiswalp for queries
GREEKC,Domain expert,,,Colin Logie @colinlog,Transcription
HGNC,Curation,< ! > In-house < ! >,@sartweedie,Susan Tweedie @sartweedie,
HGNC-UCL,Curation,P2GO,@RLovering, Ruth Lovering @RLovering, 
HPA,Curation,< ! > In-house < ! >,emma.lundberg AT scilifelab.se,Emma Lundberg emma.lundberg AT scilifelab.se,
IMPRS-EB,Curation,Noctua,@IvanTsers,Ivan Tsers @IvanTsers,phytopathology | comparative genomics | gene functional classification
IntAct,,,,,
° IntAct,Curation,< ! > In-house < ! >,,Kalpana Panneerselvam @kalpanap,
° IntAct,Curation,< ! > In-house < ! >,@sandraorchard,Sandra Orchard @sandraorchard,
InterPro,,,,,
° InterPro,Mappings,< ! > In-house < ! >,@lsw26,Lowri Williams @lsw26,
° InterPro,Mappings,< ! > In-house < ! >,@sarach06,Sara Chuguransky @sarach06,
° InterPro,Mappings,< ! > In-house < ! >,@blazaropinto,Beatriz Lazaro Pinto @blazaropinto,
° InterPro,Mappings,< ! > In-house < ! >,@tony787 ,Antonina Andreeva (Toni) @tony787 | aea-at- ebi.ac.uk,
JaponicusDB,,,,,
° JaponicusDB,Curation,< ! > In-house < ! >,,Snezka Oliferenko @snezhkaoliferenko,
° JaponicusDB,Curation,< ! > In-house < ! >,@ValWood,Val Wood @ValWood,
JCVI,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,contact @mgiglio99 for queries
LIFEdb,P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,contact Stefan Wiemann s.wiemann AT dkfz-heidelberg.de for queries
MENGO,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,contact @mgiglio99 for queries
MGI,,,,,
° MGI,Curation,Noctua,,Karen Christie @krchristie,
° MGI,Curation,Noctua,@LiNiMGI,Li Ni @LiNiMGI,
° MGI,Curation,Noctua,,David Hill @ukemi,Development | GO-CAM Modeling | MGI Data & Pipeline issues
MTBBASE,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,no contact person
NTNU_SB,,,,,
° NTNU_SB,Curation (inactive),P2GO,,Astrid Lægreid,Transcription
° NTNU_SB,Curation (inactive),P2GO,@mlacencio,Marcio Acencio @mlacencio,Transcription
PAMGO_GAT,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,contact @mgiglio99 for queries
PAMGO_MGG,Curation (inactive),P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,contact @mgiglio99 for queries
PAMGO_VMD,Curation (inactive),,,,
ParkinsonsUK-UCL,Curation,P2GO,@RLovering, Ruth Lovering @RLovering, 
PHI-base,Curation,< ! > In-house < ! >,,,
PINC (ProtInc),Curation, (inactive)P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,no contact person
PomBase,,,,,
° PomBase,,< ! > In-house < ! >,,general GitHub account @pombase-admin,
° PomBase,Curation,< ! > In-house < ! > | Noctua,@valwood,ValWood @valwood,Annotation Review
° PomBase,Curation,< ! > In-house < ! > | Noctua,,Pascal Carme @PCarme,curator
° PomBase,Technical,,,Kim Rutherford @kimrutherford,
Protein Ontology,PRO development,,,Darren Natale @nataled,
PseudoCAP,,,,,
° PseudoCAP,Curation,< ! > In-house < ! >,@glwinsor,Geoff Winsor @glwinsor,
° PseudoCAP,Curation,< ! > In-house < ! >,,Fiona Brinkman @fionabrinkman,
° PseudoCAP,,< ! > In-house < ! >,,General Group @brinkmanlab,
Reactome,,,,,
° Reactome,Curation,< ! > In-house < ! >,@deustp01,Peter D'Eustachio @deustp01,
° Reactome,Technical,,,Adam Wright @adamjohnwright,
Rfam,Mappings,< ! > In-house < ! >,@blakesweeney,Blake Sweeney @blakesweeney,
RGD,,,,,
° RGD,Curation,In-house,@slaulederkind,Stan Laulederkind @slaulederkind,Contact for Annotation Review
° RGD,Curation,In-house,@gthayman,Tom Hayman @gthayman,Contact for Annotation Review
° RGD,Curation,In-house,,Mary Kaldunski @mlkaldunski,curation | annotation | physiology
° RGD,Pipeline and data,In-house,,Jennifer Smith @jrsjrs,Project Manager| pipeline and data
° RGD,Pipeline and data,In-house,,Marek Tutaj @tutajm,import and export pipelines
RHEA,,,,,
° RHEA,RHEA development,,Kristian Axelson @kaxelsen,RHEA and Swiss-Prot curator
° RHEA,RHEA development,,Anne Morgat @amorgat,
° RHEA,Pipeline and data,,,,Arnaud Kerhornou @arnaudxk,Swiss-Prot & Rhea developer
RNA Central,,,,,
° RNAcentral,Curation,< ! > In-house < ! >,,Alex Bateman,PI
° RNAcentral,Curation,< ! > In-house < ! >,@blakesweeney, Blake Sweeny @blakesweeney,
Roslin_Institute,Curation (inactive),<P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,no contact person
SGD,,,,,
° SGD,Curation,<Noctua,@srengel,Stacia Engel @srengel,Contact for Annotation Review
° SGD,Curation,<Noctua,,Suzi Aleksander @suzialeksander,
SGN,Curation,< ! > In-house < ! >,@lukasmueller,Lukas Mueller @lukasmueller,
SynGO,Curation,< ! > In-house < ! >,@ftwkoopmans,Frank Koopmans @ftwkoopmans,
SynGO-UCL,Curation,<P2GO,@RLovering, Ruth Lovering @RLovering, 
SYSCILIA_CCNET,Curation,<P2GO?,@krchristie,Karen Christie @krchristie,
TAIR,,,,,
° TAIR,ICuration,<n-house>,@tberardini,Tanya Berardini @tberardini,Plant biology 
° TAIR,Curation,<In-house>,,Leonore Reiser @lreiser,Plant biology
° TAIR,Curation,<In-house>,,Erica Bakker @ebakker2,Plant biology
TIGR,Curation,< (inactive)P2GO,@Antonialock @pgaudet @vanaukenk,Not actively maintainted/GO_Central,contact @mgiglio99 for queries
UF_OPP,,,, Colbie Reed @dexink, microbes
UniProt,,,,,
° UniProt (EBI),Pipeline and data,,,Alex Ignatchenko @alexsign,Software & pipeline
° UniProt (EBI),Curation,P2GO,@Antonialock,Antonia Lock @Antonialock, GOA contact for GO
° UniProt (EBI),Curation,P2GO,,Michelle Magrane @magrane,
° UniProt (EBI),Curation,P2GO,,Sandra Orchard @sandraorchard,
° UniProt (EBI),QuickGO backend,,Rizwan Ishtiaq @rizwan-ishtiaq,QuickGO java backend
° UniProt (PIR),Curation,P2GO,,Kati Laiho @laihokati,
° UniProt (Swiss-Prot/Geneva),Curation,P2GO,,Lucila Aimo @aimol,lipid metabolism
° UniProt (Swiss-Prot/Geneva),Curation,P2GO,,Andrea Auchincloss @AndreaAuchincloss,Bacteria
° UniProt (Swiss-Prot/Geneva),Curation,P2GO,,Kristian Axelsen @kaxelsen,enzymes
° UniProt (Swiss-Prot/Geneva),Curation,P2GO | Noctua,,Cristina Casals Casa @ccasalsc, Cell Biology | Transcription
° UniProt (Swiss-Prot/Geneva),Curation,PAINT | P2GO | Noctua,,Marc Feuermann @marcfeuermann,fungi | enzymes
° UniProt (Swiss-Prot/Geneva),Curation,P2GO,,Florence Jungo @FJungo,Venoms
° UniProt (Swiss-Prot/Geneva),Curation,P2GO,,Nevila Nouspikel nnouspikel,lipids | immunology | cancer
° UniProt (Swiss-Prot/Geneva),Curation,P2GO | Noctua,@sylvainpoux, Sylvain Poux @sylvainpoux,
° UniProt - HAMAP,Mappings,< ! > In-house < ! >,@pedruzzi, Ivo Pedruzzi @pedruzzi,
° UniProt - UniRules,Mappings,< ! > In-house < ! >,@esperetta,Elena Speretta @esperetta,
° UniProt - UniRules,Mappings,< ! > In-house < ! >,@PedroRaposo,Pedro Raposo @PedroRaposo,
WB - WormBase,Curation,P2GO  |Noctua,@vanaukenk,Kimberly Van Auken @vanaukenk,C.elegans | Noctua | GO-CAM
Wikidata,,,,,
